Título,Visualizações,Likes,Comentários,Ref,Fundos Citados
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Dez.20,209,26,0, Dez.20,KFOF11
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Nov.20,152,12,0, Nov.20,KINP11
Prev Crédito Privado Kinea - Resumo Mensal ref. Nov.20,154,9,0, Nov.20,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Nov.20,146,11,0, Nov.20,
Fundos Multimercados Kinea - Resumo Mensal ref. Nov.20,394,42,0, Nov.20,
Fundos de Ações Kinea - Resumo Mensal ref. Nov.20,168,17,0, Nov.20,
KNSC11 - Atualização Inicial do Kinea Securities Nov/20,373,35,0,,KNSC11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Nov.20,222,20,0, Nov.20,KFOF11
KDIF11 - Resumo Mensal do Kinea Infra ref. Nov.20,369,23,0, Nov.20,KDIF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Nov.20,1198,170,0, Nov.20,KNRI11
KNCR11 - Resumo mensal do Kinea Rendimentos ref. Nov.20,618,68,0, Nov.20,KNCR11
KEVE11 - Resumo Mensal do Kinea Even II ref. Nov.20,119,13,0, Nov.20,KEVE11
KNHY11 - Resumo mensal do Kinea High Yield ref. Nov.20,207,18,0, Nov.20,KNHY11
KNIP11 - Resumo mensal do Kinea Índices de Preços ref. Nov.20,752,75,0, Nov.20,KNIP11
KNCR11 - Resumo mensal do Kinea Rendimentos ref. Out.20,344,35,0, Out.20,KNCR11
Fundos Renda Fixa Kinea - Resumo Mensal ref. Out.20,182,15,0, Out.20,
Prev Crédito Privado Kinea - Resumo Mensal ref. Out.20,127,14,0, Out.20,
Fundos de Ações Kinea - Resumo Mensal ref. Out.20,186,12,0, Out.20,
Fundos Multimercados Kinea - Resumo Mensal ref. Out.20,182,10,0, Out.20,
KNRI11 - Resumo Mensal do Kinea Renda ref. Out.20,1188,178,0, Out.20,KNRI11
KNIP11 - Resumo mensal do Kinea Índices de Preços ref. Out.20,621,60,0, Out.20,KNIP11
KDIF11 - Resumo Mensal do Kinea Infra ref. Out.20,654,52,0, Out.20,KDIF11
KNHY11 - Resumo mensal do Kinea High Yield ref. Out.20,193,22,0, Out.20,KNHY11
KEVE11 - Resumo Mensal do Kinea Even II ref. Out.20,144,12,0, Out.20,KEVE11
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Out.20,188,18,0, Out.20,KINP11
KNSC11 - Atualização Inicial do Kinea Securities Nov/20,390,37,0,,KNSC11
KNRI11 - Resumo Mensal do Kinea Renda ref. Set.20,1052,142,0, Set.20,KNRI11
Fundos Multimercados Kinea - Resumo Mensal ref. Set.20,477,44,0, Set.20,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Set.20,179,23,0, Set.20,
Prev Crédito Privado Kinea - Resumo Mensal ref. Set.20,127,11,0, Set.20,
Fundos de Ações Kinea - Resumo Mensal ref. Set.20,176,25,0, Set.20,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Set.20,211,24,0, Set.20,KFOF11
KNHY11 - Resumo mensal do Kinea High Yield ref.Set.20,165,15,0,Set.20,KNHY11
KNCR11 - Resumo mensal do Kinea Rendimentos ref.Set.20,281,29,0,Set.20,KNCR11
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Set.20,182,22,0, Set.20,KINP11
KNIP11 - Resumo mensal do Kinea Índices de Preços ref.Set.20,397,45,0,Set.20,KNIP11
KDIF11 - Resumo Mensal do Kinea Infra ref. Set.20,270,21,0, Set.20,KDIF11
Fundos Multimercados Kinea - Resumo Mensal ref. Ago.20,664,42,0, Ago.20,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Ago.20,165,15,0, Ago.20,
KNRI11 - Resumo Mensal do Kinea Renda ref. Ago.20,909,119,0, Ago.20,KNRI11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Ago.20,233,25,0, Ago.20,KFOF11
Fundos de Ações Kinea - Resumo Mensal ref. Ago.20,216,33,0, Ago.20,
KDIF11 - Resumo Mensal do Kinea Infra ref. Ago.20,468,48,0, Ago.20,KDIF11
KNCR11 - Resumo mensal do Kinea Rendimentos ref.Ago.20,407,28,0,Ago.20,KNCR11
KNHY11 - Resumo mensal do Kinea High Yield ref.Ago.20,153,18,0,Ago.20,KNHY11
KNIP11 - Resumo mensal do Kinea Índices de Preços ref.Ago.20,628,52,0,Ago.20,KNIP11
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Ago.20,275,18,0, Ago.20,KINP11
Prev Crédito Privado Kinea - Resumo Mensal ref. Ago.20,80,5,0, Ago.20,
Prev Crédito Privado Kinea - Resumo Mensal ref. Jul.20,111,16,0, Jul.20,
Fundos de Ações Kinea - Resumo Mensal ref. Jul.20,234,23,0, Jul.20,
KNRI11 - Resumo Mensal do Kinea Renda ref. Jul.20,1249,156,0, Jul.20,KNRI11
Fundos Renda Fixa Kinea - Resumo Mensal ref. Jul.20,75,3,0, Jul.20,
KDIF11 - Resumo Mensal do Kinea Infra ref. Jul.20,310,25,0, Jul.20,KDIF11
KNIP11 - Resumo mensal do Kinea Índices de Preços ref.Jul.20,404,39,0,Jul.20,KNIP11
KNCR11 - Resumo mensal do Kinea Rendimentos ref.Jul.20,443,42,0,Jul.20,KNCR11
KNHY11 - Resumo mensal do Kinea High Yield ref.Jul.20,156,8,0,Jul.20,KNHY11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Jul.20,283,33,0, Jul.20,KFOF11
Live Fundos Multimercados Kinea - Atualização ref. Jul/20,270,23,0, Jul/20,
Fundos Multimercados Kinea - Resumo Mensal ref. Jul.20,663,54,0, Jul.20,
Live Fundos Multimercados Kinea - Atualização ref. Jun.2020,453,32,0, Jun.2020,
Prev Crédito Privado Kinea - Resumo Mensal ref. Jun.20,113,6,0, Jun.20,
Fundos de Ações Kinea - Resumo Mensal ref. Jun.20,168,11,0, Jun.20,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Jun.20,147,10,0, Jun.20,
Fundos Multimercados Kinea - Resumo Mensal ref. Jun.20,739,41,0, Jun.20,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Jun.20,413,30,0, Jun.20,KFOF11
"KNCR11, KNIP11 e KNHY11 - Resumo mensal dos Fundos de CRI da Kine ref.Jun.20",984,75,0,Jun.20,"KNCR11,KNIP11,KNHY11"
KNRI11 - Resumo Mensal do Kinea Renda ref. Jun.20,1904,196,0, Jun.20,KNRI11
KDIF11 - Resumo Mensal do Kinea Infra ref. Jun.20,228,19,0, Jun.20,KDIF11
"KNCR11, KNIP11 e KNHY11 - Resumo mensal dos Fundos de CRI da Kine ref.Mai.20",749,54,0,Mai.20,"KNCR11,KNIP11,KNHY11"
KDIF11 - Resumo Mensal do Kinea Infra ref. Mai.20,273,16,0, Mai.20,KDIF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Mai.20,873,113,0, Mai.20,KNRI11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Mai.20,326,18,0, Mai.20,KFOF11
Prev Crédito Privado Kinea - Resumo Mensal ref. Mai.20,185,7,0, Mai.20,
Fundos de Ações Kinea - Resumo Mensal ref. Mai.20,192,17,0, Mai.20,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Mai.20,203,10,0, Mai.20,
Fundos Multimercados Kinea - Resumo Mensal ref. Mai.20,436,36,0, Mai.20,
